UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1178690400,2007-05-09T06:00:00Z,-16.519371,28.755183,561,0,0,0,No Data,No Data
1178690414,2007-05-09T06:00:14Z,-16.519744,28.755560,556,0.0578823,0,0,No Data,No Data
1178690426,2007-05-09T06:00:26Z,-16.520131,28.755828,556,0.109643,0,0,No Data,No Data
1178690439,2007-05-09T06:00:39Z,-16.520523,28.756080,552,0.1610304,0,0,No Data,No Data
1178690453,2007-05-09T06:00:53Z,-16.521033,28.756242,552,0.220418,0,0,No Data,No Data
1178690468,2007-05-09T06:01:08Z,-16.521537,28.756490,519,0.2825315,0,0,No Data,No Data
1178690480,2007-05-09T06:01:20Z,-16.521937,28.756729,519,0.3338899,0,0,No Data,No Data
1178690492,2007-05-09T06:01:32Z,-16.522337,28.756968,524,0.385297,0,0,No Data,No Data
1178690507,2007-05-09T06:01:47Z,-16.522843,28.757218,505,0.4477434,0,0,No Data,No Data
1178690525,2007-05-09T06:02:05Z,-16.523322,28.757686,487,0.5208919,0,0,No Data,No Data
1178690545,2007-05-09T06:02:25Z,-16.523889,28.758205,487,0.6049584,0,0,No Data,No Data
1178690555,2007-05-09T06:02:35Z,-16.524054,28.758560,487,0.6471704,0,0,No Data,No Data
1178690569,2007-05-09T06:02:49Z,-16.524425,28.758947,487,0.705644,0,0,No Data,No Data
1178690583,2007-05-09T06:03:03Z,-16.524679,28.759425,487,0.7641075,0,0,No Data,No Data
1178690595,2007-05-09T06:03:15Z,-16.524947,28.759796,487,0.8137939,0,0,No Data,No Data
1178690608,2007-05-09T06:03:28Z,-16.525098,28.760260,487,0.8661229,0,0,No Data,No Data
1178690621,2007-05-09T06:03:41Z,-16.525237,28.760745,487,0.9202724,0,0,No Data,No Data
1178690638,2007-05-09T06:03:58Z,-16.525447,28.761388,533,0.9928273,0,0,No Data,No Data
1178690654,2007-05-09T06:04:14Z,-16.525444,28.762011,533,1.059362,0,0,No Data,No Data
1178690667,2007-05-09T06:04:27Z,-16.525471,28.762495,552,1.111182,0,0,No Data,No Data
1178690675,2007-05-09T06:04:35Z,-16.525420,28.762834,552,1.147833,0,0,No Data,No Data
