UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1178690400,2007-05-09T06:00:00Z,-16.390851,28.684545,515,0,0,0,No Data,No Data
1178690824,2007-05-09T06:07:04Z,-16.396833,28.699883,477,1.768404,0,0,No Data,No Data
1178691074,2007-05-09T06:11:14Z,-16.399830,28.709093,480,2.807173,0,0,No Data,No Data
1178691572,2007-05-09T06:19:32Z,-16.405822,28.727516,504,4.88482,0,0,No Data,No Data
1178691898,2007-05-09T06:24:58Z,-16.408830,28.739812,605,6.24002,0,0,No Data,No Data
1178692223,2007-05-09T06:30:23Z,-16.411836,28.752108,805,7.595219,0,0,No Data,No Data
1178692702,2007-05-09T06:38:22Z,-16.414887,28.770548,868,9.593657,0,0,No Data,No Data
1178692986,2007-05-09T06:43:06Z,-16.420863,28.779705,861,10.77646,0,0,No Data,No Data
1178693466,2007-05-09T06:51:06Z,-16.423920,28.798138,761,12.77415,0,0,No Data,No Data
1178693860,2007-05-09T06:57:40Z,-16.423995,28.813533,665,14.41825,0,0,No Data,No Data
1178694212,2007-05-09T07:03:32Z,-16.429984,28.825770,423,15.88533,0,0,No Data,No Data
1178694564,2007-05-09T07:09:24Z,-16.436003,28.837968,567,17.35022,0,0,No Data,No Data
1178694878,2007-05-09T07:14:38Z,-16.436122,28.850211,575,18.65763,0,0,No Data,No Data
1178695404,2007-05-09T07:23:24Z,-16.445189,28.868449,650,20.85118,0,0,No Data,No Data
1178695652,2007-05-09T07:27:32Z,-16.448240,28.877587,653,21.88438,0,0,No Data,No Data
1178696148,2007-05-09T07:35:48Z,-16.454338,28.895860,643,23.95026,0,0,No Data,No Data
1178696473,2007-05-09T07:41:13Z,-16.457340,28.908156,743,25.30506,0,0,No Data,No Data
1178696799,2007-05-09T07:46:39Z,-16.460334,28.920464,603,26.6608,0,0,No Data,No Data
1178697399,2007-05-09T07:56:39Z,-16.469256,28.941981,601,29.16365,0,0,No Data,No Data
1178697725,2007-05-09T08:02:05Z,-16.472249,28.954292,600,30.51963,0,0,No Data,No Data
1178698050,2007-05-09T08:07:30Z,-16.475241,28.966605,616,31.87573,0,0,No Data,No Data
1178698129,2007-05-09T08:08:49Z,-16.475253,28.969688,589,32.20488,0,0,No Data,No Data
1178698455,2007-05-09T08:14:15Z,-16.478244,28.982002,612,33.56104,0,0,No Data,No Data
1178698935,2007-05-09T08:22:15Z,-16.481257,29.000484,617,35.56251,0,0,No Data,No Data
1178699360,2007-05-09T08:29:20Z,-16.487208,29.015863,628,37.33301,0,0,No Data,No Data
1178699785,2007-05-09T08:36:25Z,-16.493160,29.031243,594,39.10356,0,0,No Data,No Data
1178700209,2007-05-09T08:43:29Z,-16.499134,29.046586,596,40.87136,0,0,No Data,No Data
1178700534,2007-05-09T08:48:54Z,-16.502144,29.058871,574,42.22493,0,0,No Data,No Data
