UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1178690400,2007-05-09T06:00:00Z,-18.050212,26.599336,496,0,0,0,No Data,No Data
1178690413,2007-05-09T06:00:13Z,-18.050443,26.599798,496,0.0553128,0,0,No Data,No Data
1178690425,2007-05-09T06:00:25Z,-18.050558,26.600255,496,0.1054085,0,0,No Data,No Data
1178690435,2007-05-09T06:00:35Z,-18.050673,26.600599,496,0.1440601,0,0,No Data,No Data
1178690451,2007-05-09T06:00:51Z,-18.050919,26.601177,496,0.2111781,0,0,No Data,No Data
1178690464,2007-05-09T06:01:04Z,-18.051147,26.601637,496,0.2661328,0,0,No Data,No Data
1178690476,2007-05-09T06:01:16Z,-18.051253,26.602090,496,0.3155468,0,0,No Data,No Data
1178690488,2007-05-09T06:01:28Z,-18.051365,26.602544,496,0.365244,0,0,No Data,No Data
1178690500,2007-05-09T06:01:40Z,-18.051486,26.603000,496,0.4154511,0,0,No Data,No Data
1178690513,2007-05-09T06:01:53Z,-18.051718,26.603459,496,0.4705615,0,0,No Data,No Data
1178690522,2007-05-09T06:02:02Z,-18.051720,26.603798,496,0.506483,0,0,No Data,No Data
1178690534,2007-05-09T06:02:14Z,-18.051843,26.604254,496,0.556695,0,0,No Data,No Data
1178690551,2007-05-09T06:02:31Z,-18.051961,26.604933,496,0.6298425,0,0,No Data,No Data
1178690559,2007-05-09T06:02:39Z,-18.052178,26.605162,496,0.6641366,0,0,No Data,No Data
1178690577,2007-05-09T06:02:57Z,-18.052284,26.605838,496,0.7367151,0,0,No Data,No Data
1178690587,2007-05-09T06:03:07Z,-18.052508,26.606180,496,0.7807576,0,0,No Data,No Data
1178690599,2007-05-09T06:03:19Z,-18.052622,26.606632,496,0.8303135,0,0,No Data,No Data
1178690615,2007-05-09T06:03:35Z,-18.052848,26.607198,496,0.8953949,0,0,No Data,No Data
1178690626,2007-05-09T06:03:46Z,-18.052848,26.607648,496,0.9430555,0,0,No Data,No Data
