UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1178690400,2007-05-09T06:00:00Z,-17.950139,26.999909,574,0,0,0,No Data,No Data
1178690422,2007-05-09T06:00:22Z,-17.950935,27.000051,575,0.0899524,0,0,No Data,No Data
1178690440,2007-05-09T06:00:40Z,-17.951597,27.000193,582,0.1651812,0,0,No Data,No Data
1178690462,2007-05-09T06:01:02Z,-17.952383,27.000478,589,0.257792,0,0,No Data,No Data
1178690480,2007-05-09T06:01:20Z,-17.953046,27.000618,577,0.3331047,0,0,No Data,No Data
1178690502,2007-05-09T06:01:42Z,-17.953829,27.000906,574,0.4255095,0,0,No Data,No Data
1178690516,2007-05-09T06:01:56Z,-17.954354,27.000913,574,0.4839653,0,0,No Data,No Data
1178690538,2007-05-09T06:02:18Z,-17.955135,27.001203,569,0.5762424,0,0,No Data,No Data
1178690556,2007-05-09T06:02:36Z,-17.955788,27.001352,559,0.6507098,0,0,No Data,No Data
1178690574,2007-05-09T06:02:54Z,-17.956442,27.001500,559,0.7252088,0,0,No Data,No Data
1178690592,2007-05-09T06:03:12Z,-17.957081,27.001665,534,0.7985203,0,0,No Data,No Data
1178690599,2007-05-09T06:03:19Z,-17.957332,27.001819,534,0.8309133,0,0,No Data,No Data
1178690621,2007-05-09T06:03:41Z,-17.958090,27.002141,488,0.921965,0,0,No Data,No Data
1178690639,2007-05-09T06:03:59Z,-17.958739,27.002299,488,0.9961693,0,0,No Data,No Data
1178690664,2007-05-09T06:04:24Z,-17.959665,27.002443,488,1.100446,0,0,No Data,No Data
1178690682,2007-05-09T06:04:42Z,-17.960326,27.002586,488,1.175602,0,0,No Data,No Data
1178690700,2007-05-09T06:05:00Z,-17.960987,27.002727,489,1.250734,0,0,No Data,No Data
1178690707,2007-05-09T06:05:07Z,-17.961256,27.002722,499,1.280689,0,0,No Data,No Data
1178690730,2007-05-09T06:05:30Z,-17.962057,27.002985,528,1.374138,0,0,No Data,No Data
1178690744,2007-05-09T06:05:44Z,-17.962592,27.003111,528,1.435199,0,0,No Data,No Data
1178690759,2007-05-09T06:05:59Z,-17.963127,27.003099,549,1.494808,0,0,No Data,No Data
1178690773,2007-05-09T06:06:13Z,-17.963656,27.003232,549,1.555466,0,0,No Data,No Data
1178690798,2007-05-09T06:06:38Z,-17.964577,27.003374,562,1.659151,0,0,No Data,No Data
1178690823,2007-05-09T06:07:03Z,-17.965500,27.003374,562,1.761926,0,0,No Data,No Data
1178690840,2007-05-09T06:07:20Z,-17.966158,27.003375,562,1.835249,0,0,No Data,No Data
1178690858,2007-05-09T06:07:38Z,-17.966814,27.003513,565,1.909819,0,0,No Data,No Data
1178690876,2007-05-09T06:07:56Z,-17.967472,27.003514,569,1.983082,0,0,No Data,No Data
1178690890,2007-05-09T06:08:10Z,-17.967997,27.003514,573,2.041597,0,0,No Data,No Data
1178690908,2007-05-09T06:08:28Z,-17.968653,27.003516,573,2.114687,0,0,No Data,No Data
1178690922,2007-05-09T06:08:42Z,-17.968791,27.002963,581,2.175245,0,0,No Data,No Data
1178690940,2007-05-09T06:09:00Z,-17.968800,27.002271,584,2.248486,0,0,No Data,No Data
1178690952,2007-05-09T06:09:12Z,-17.968410,27.001994,580,2.300757,0,0,No Data,No Data
1178690968,2007-05-09T06:09:28Z,-17.967889,27.001716,580,2.365706,0,0,No Data,No Data
1178690982,2007-05-09T06:09:42Z,-17.967366,27.001577,575,2.425737,0,0,No Data,No Data
