UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1178690400,2007-05-09T06:00:00Z,-17.918292,26.277572,556,0,0,0,No Data,No Data
1178690514,2007-05-09T06:01:54Z,-17.918667,26.282043,558,0.4755496,0,0,No Data,No Data
1178690635,2007-05-09T06:03:55Z,-17.918997,26.286789,557,0.9797164,0,0,No Data,No Data
1178690731,2007-05-09T06:05:31Z,-17.920814,26.290026,554,1.377909,0,0,No Data,No Data
1178690866,2007-05-09T06:07:46Z,-17.923490,26.294522,549,1.939673,0,0,No Data,No Data
1178690939,2007-05-09T06:08:59Z,-17.925233,26.296754,544,2.24558,0,0,No Data,No Data
1178691062,2007-05-09T06:11:02Z,-17.928105,26.300546,550,2.758992,0,0,No Data,No Data
1178691136,2007-05-09T06:12:16Z,-17.930174,26.302443,556,3.064785,0,0,No Data,No Data
1178691279,2007-05-09T06:14:39Z,-17.934329,26.305991,545,3.660866,0,0,No Data,No Data
1178691331,2007-05-09T06:15:31Z,-17.935854,26.307297,549,3.879989,0,0,No Data,No Data
1178691385,2007-05-09T06:16:25Z,-17.937052,26.308983,544,4.10296,0,0,No Data,No Data
1178691440,2007-05-09T06:17:20Z,-17.936720,26.311111,542,4.331416,0,0,No Data,No Data
1178691494,2007-05-09T06:18:14Z,-17.935909,26.313078,545,4.558546,0,0,No Data,No Data
1178691553,2007-05-09T06:19:13Z,-17.934927,26.315173,544,4.80591,0,0,No Data,No Data
1178691629,2007-05-09T06:20:29Z,-17.933753,26.317889,555,5.121966,0,0,No Data,No Data
1178691676,2007-05-09T06:21:16Z,-17.933685,26.319707,542,5.314733,0,0,No Data,No Data
1178691747,2007-05-09T06:22:27Z,-17.933796,26.322520,551,5.612987,0,0,No Data,No Data
1178691810,2007-05-09T06:23:30Z,-17.934350,26.324942,546,5.876878,0,0,No Data,No Data
1178691908,2007-05-09T06:25:08Z,-17.934236,26.328773,544,6.282912,0,0,No Data,No Data
