UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1178690400,2007-05-09T06:00:00Z,-18.055477,26.597116,511,0,0,0,No Data,No Data
1178690411,2007-05-09T06:00:11Z,-18.055205,26.597423,508,0.0444202,0,0,No Data,No Data
1178690421,2007-05-09T06:00:21Z,-18.054861,26.597637,508,0.0888292,0,0,No Data,No Data
1178690430,2007-05-09T06:00:30Z,-18.054596,26.597860,508,0.1265569,0,0,No Data,No Data
1178690441,2007-05-09T06:00:41Z,-18.054322,26.598167,518,0.171104,0,0,No Data,No Data
1178690451,2007-05-09T06:00:51Z,-18.054126,26.598483,518,0.2110125,0,0,No Data,No Data
1178690461,2007-05-09T06:01:01Z,-18.053781,26.598696,518,0.2555156,0,0,No Data,No Data
1178690469,2007-05-09T06:01:09Z,-18.053595,26.598929,526,0.2876764,0,0,No Data,No Data
1178690480,2007-05-09T06:01:20Z,-18.053321,26.599235,526,0.3322101,0,0,No Data,No Data
1178690490,2007-05-09T06:01:30Z,-18.052979,26.599450,526,0.3765727,0,0,No Data,No Data
1178690502,2007-05-09T06:01:42Z,-18.052628,26.599750,520,0.4269035,0,0,No Data,No Data
1178690512,2007-05-09T06:01:52Z,-18.052364,26.599974,520,0.4646455,0,0,No Data,No Data
1178690519,2007-05-09T06:01:59Z,-18.052181,26.600209,520,0.4968028,0,0,No Data,No Data
1178690528,2007-05-09T06:02:08Z,-18.051920,26.600436,502,0.5345363,0,0,No Data,No Data
1178690540,2007-05-09T06:02:20Z,-18.051570,26.600739,497,0.5849965,0,0,No Data,No Data
1178690550,2007-05-09T06:02:30Z,-18.051305,26.600964,497,0.6229196,0,0,No Data,No Data
1178690560,2007-05-09T06:02:40Z,-18.051031,26.601274,496,0.6677268,0,0,No Data,No Data
1178690569,2007-05-09T06:02:49Z,-18.050766,26.601499,496,0.7056984,0,0,No Data,No Data
1178690585,2007-05-09T06:03:05Z,-18.050392,26.601966,496,0.7703298,0,0,No Data,No Data
1178690594,2007-05-09T06:03:14Z,-18.050123,26.602185,517,0.8082256,0,0,No Data,No Data
1178690606,2007-05-09T06:03:26Z,-18.049836,26.602572,517,0.8601652,0,0,No Data,No Data
1178690617,2007-05-09T06:03:37Z,-18.049559,26.602875,538,0.9046314,0,0,No Data,No Data
1178690628,2007-05-09T06:03:48Z,-18.049283,26.603178,541,0.9490611,0,0,No Data,No Data
1178690638,2007-05-09T06:03:58Z,-18.049008,26.603483,541,0.9936078,0,0,No Data,No Data
1178690651,2007-05-09T06:04:11Z,-18.048653,26.603781,547,1.044131,0,0,No Data,No Data
1178690663,2007-05-09T06:04:23Z,-18.048299,26.604080,546,1.094611,0,0,No Data,No Data
1178690675,2007-05-09T06:04:35Z,-18.047875,26.604286,546,1.146568,0,0,No Data,No Data
1178690684,2007-05-09T06:04:44Z,-18.047548,26.604333,551,1.183286,0,0,No Data,No Data
1178690693,2007-05-09T06:04:53Z,-18.047220,26.604380,551,1.220032,0,0,No Data,No Data
1178690706,2007-05-09T06:05:06Z,-18.046743,26.604323,557,1.27341,0,0,No Data,No Data
1178690721,2007-05-09T06:05:21Z,-18.046186,26.604259,558,1.335753,0,0,No Data,No Data
1178690731,2007-05-09T06:05:31Z,-18.045787,26.604216,558,1.380326,0,0,No Data,No Data
1178690740,2007-05-09T06:05:40Z,-18.045823,26.603879,558,1.416129,0,0,No Data,No Data
1178690746,2007-05-09T06:05:46Z,-18.045850,26.603628,553,1.442852,0,0,No Data,No Data
1178690757,2007-05-09T06:05:57Z,-18.045975,26.603219,553,1.488303,0,0,No Data,No Data
1178690768,2007-05-09T06:06:08Z,-18.046250,26.602910,555,1.533103,0,0,No Data,No Data
1178690779,2007-05-09T06:06:19Z,-18.046525,26.602601,555,1.577884,0,0,No Data,No Data
1178690789,2007-05-09T06:06:29Z,-18.046800,26.602294,555,1.622518,0,0,No Data,No Data
1178690795,2007-05-09T06:06:35Z,-18.046977,26.602145,551,1.647775,0,0,No Data,No Data
1178690810,2007-05-09T06:06:50Z,-18.047482,26.601949,549,1.707706,0,0,No Data,No Data
1178690821,2007-05-09T06:07:01Z,-18.047827,26.601735,549,1.752332,0,0,No Data,No Data
1178690834,2007-05-09T06:07:14Z,-18.048261,26.601447,542,1.809529,0,0,No Data,No Data
1178690845,2007-05-09T06:07:25Z,-18.048608,26.601235,537,1.854194,0,0,No Data,No Data
1178690856,2007-05-09T06:07:36Z,-18.048955,26.601024,513,1.898812,0,0,No Data,No Data
1178690865,2007-05-09T06:07:45Z,-18.049223,26.600804,513,1.936656,0,0,No Data,No Data
