UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1178690400,2007-05-09T06:00:00Z,-17.921991,26.135940,589,0,0,0,No Data,No Data
1178690507,2007-05-09T06:01:47Z,-17.918691,26.138317,587,0.4454334,0,0,No Data,No Data
1178690559,2007-05-09T06:02:39Z,-17.917402,26.139852,583,0.6623161,0,0,No Data,No Data
1178690614,2007-05-09T06:03:34Z,-17.917238,26.141992,586,0.8898,0,0,No Data,No Data
1178690643,2007-05-09T06:04:03Z,-17.917399,26.143122,580,1.010888,0,0,No Data,No Data
1178690687,2007-05-09T06:04:47Z,-17.918106,26.144713,581,1.196935,0,0,No Data,No Data
1178690730,2007-05-09T06:05:30Z,-17.918695,26.146278,581,1.375304,0,0,No Data,No Data
1178690770,2007-05-09T06:06:10Z,-17.919440,26.147653,580,1.54299,0,0,No Data,No Data
1178690804,2007-05-09T06:06:44Z,-17.919875,26.148903,587,1.684106,0,0,No Data,No Data
1178690850,2007-05-09T06:07:30Z,-17.919374,26.150631,581,1.87549,0,0,No Data,No Data
1178690854,2007-05-09T06:07:34Z,-17.919294,26.150755,581,1.891412,0,0,No Data,No Data
1178690857,2007-05-09T06:07:37Z,-17.919216,26.150850,581,1.904707,0,0,No Data,No Data
1178690862,2007-05-09T06:07:42Z,-17.919100,26.150977,581,1.923379,0,0,No Data,No Data
1178690864,2007-05-09T06:07:44Z,-17.919025,26.151043,581,1.934271,0,0,No Data,No Data
1178690869,2007-05-09T06:07:49Z,-17.918908,26.151171,581,1.953109,0,0,No Data,No Data
1178690873,2007-05-09T06:07:53Z,-17.918793,26.151270,581,1.96962,0,0,No Data,No Data
1178690877,2007-05-09T06:07:57Z,-17.918645,26.151372,583,1.989348,0,0,No Data,No Data
1178690882,2007-05-09T06:08:02Z,-17.918528,26.151502,583,2.008277,0,0,No Data,No Data
1178690886,2007-05-09T06:08:06Z,-17.918450,26.151629,583,2.024347,0,0,No Data,No Data
1178690890,2007-05-09T06:08:10Z,-17.918342,26.151759,583,2.042649,0,0,No Data,No Data
1178690894,2007-05-09T06:08:14Z,-17.918257,26.151888,583,2.059309,0,0,No Data,No Data
1178690899,2007-05-09T06:08:19Z,-17.918139,26.152021,583,2.07858,0,0,No Data,No Data
1178690903,2007-05-09T06:08:23Z,-17.918053,26.152152,583,2.095387,0,0,No Data,No Data
1178690908,2007-05-09T06:08:28Z,-17.917929,26.152317,585,2.117639,0,0,No Data,No Data
1178690911,2007-05-09T06:08:31Z,-17.917884,26.152414,585,2.12907,0,0,No Data,No Data
1178690916,2007-05-09T06:08:36Z,-17.917805,26.152575,593,2.148248,0,0,No Data,No Data
1178690920,2007-05-09T06:08:40Z,-17.917765,26.152763,593,2.168648,0,0,No Data,No Data
1178690925,2007-05-09T06:08:45Z,-17.917725,26.152920,593,2.185911,0,0,No Data,No Data
1178690929,2007-05-09T06:08:49Z,-17.917669,26.153082,583,2.20416,0,0,No Data,No Data
1178690933,2007-05-09T06:08:53Z,-17.917613,26.153213,583,2.219408,0,0,No Data,No Data
1178690938,2007-05-09T06:08:58Z,-17.917590,26.153403,583,2.23975,0,0,No Data,No Data
1178690941,2007-05-09T06:09:01Z,-17.917539,26.153534,583,2.254761,0,0,No Data,No Data
1178690944,2007-05-09T06:09:04Z,-17.917490,26.153634,583,2.266675,0,0,No Data,No Data
1178690949,2007-05-09T06:09:09Z,-17.917477,26.153822,579,2.28672,0,0,No Data,No Data
1178690952,2007-05-09T06:09:12Z,-17.917426,26.153954,579,2.301856,0,0,No Data,No Data
1178690956,2007-05-09T06:09:16Z,-17.917415,26.154112,579,2.318643,0,0,No Data,No Data
1178690960,2007-05-09T06:09:20Z,-17.917364,26.154244,579,2.333786,0,0,No Data,No Data
1178690964,2007-05-09T06:09:24Z,-17.917314,26.154376,579,2.348882,0,0,No Data,No Data
1178690967,2007-05-09T06:09:27Z,-17.917314,26.154500,579,2.362117,0,0,No Data,No Data
1178690970,2007-05-09T06:09:30Z,-17.917313,26.154625,579,2.375363,0,0,No Data,No Data
1178690974,2007-05-09T06:09:34Z,-17.917266,26.154787,579,2.393383,0,0,No Data,No Data
1178690977,2007-05-09T06:09:37Z,-17.917263,26.154882,579,2.403459,0,0,No Data,No Data
1178690981,2007-05-09T06:09:41Z,-17.917213,26.155046,579,2.421728,0,0,No Data,No Data
1178690986,2007-05-09T06:09:46Z,-17.917175,26.155238,579,2.44256,0,0,No Data,No Data
1178690989,2007-05-09T06:09:49Z,-17.917179,26.155361,579,2.455642,0,0,No Data,No Data
1178690999,2007-05-09T06:09:59Z,-17.917346,26.155676,580,2.493893,0,0,No Data,No Data
1178691001,2007-05-09T06:10:01Z,-17.917371,26.155761,580,2.503389,0,0,No Data,No Data
1178691003,2007-05-09T06:10:03Z,-17.917394,26.155846,580,2.512865,0,0,No Data,No Data
1178691004,2007-05-09T06:10:04Z,-17.917394,26.155886,580,2.517191,0,0,No Data,No Data
