UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1178690400,2007-05-09T06:00:00Z,-17.979996,25.891147,722,0,0,0,No Data,No Data
1178690405,2007-05-09T06:00:05Z,-17.980001,25.89134,722,0.0204843,0,0,No Data,No Data
1178690409,2007-05-09T06:00:09Z,-17.979996,25.891493,719,0.0367878,0,0,No Data,No Data
1178690414,2007-05-09T06:00:14Z,-17.979945,25.891685,719,0.0578844,0,0,No Data,No Data
1178690418,2007-05-09T06:00:18Z,-17.97994,25.891839,719,0.0742031,0,0,No Data,No Data
1178690424,2007-05-09T06:00:24Z,-17.979892,25.892069,719,0.0992251,0,0,No Data,No Data
1178690428,2007-05-09T06:00:28Z,-17.979884,25.892224,714,0.1156602,0,0,No Data,No Data
1178690433,2007-05-09T06:00:33Z,-17.979874,25.892416,714,0.1361178,0,0,No Data,No Data
1178690437,2007-05-09T06:00:37Z,-17.979867,25.892571,714,0.1526018,0,0,No Data,No Data
1178690444,2007-05-09T06:00:44Z,-17.979859,25.892842,714,0.1813677,0,0,No Data,No Data
1178690449,2007-05-09T06:00:49Z,-17.97981,25.893036,709,0.2026551,0,0,No Data,No Data
1178690454,2007-05-09T06:00:54Z,-17.979771,25.89323,709,0.2237301,0,0,No Data,No Data
1178690459,2007-05-09T06:00:59Z,-17.979769,25.893425,709,0.244389,0,0,No Data,No Data
1178690465,2007-05-09T06:01:05Z,-17.979769,25.893658,709,0.2690867,0,0,No Data,No Data
1178690470,2007-05-09T06:01:10Z,-17.979769,25.893852,708,0.2896891,0,0,No Data,No Data
1178690476,2007-05-09T06:01:16Z,-17.979768,25.894124,708,0.3185649,0,0,No Data,No Data
1178690483,2007-05-09T06:01:23Z,-17.979768,25.894396,708,0.3474623,0,0,No Data,No Data
1178690488,2007-05-09T06:01:28Z,-17.97973,25.894553,708,0.3646101,0,0,No Data,No Data
1178690491,2007-05-09T06:01:31Z,-17.97973,25.894708,708,0.3811116,0,0,No Data,No Data
1178690496,2007-05-09T06:01:36Z,-17.979729,25.894903,708,0.4018129,0,0,No Data,No Data
1178690498,2007-05-09T06:01:38Z,-17.97973,25.894981,708,0.4101024,0,0,No Data,No Data
1178690507,2007-05-09T06:01:47Z,-17.979654,25.895294,708,0.4443323,0,0,No Data,No Data
1178690512,2007-05-09T06:01:52Z,-17.979659,25.895488,706,0.4649503,0,0,No Data,No Data
1178690516,2007-05-09T06:01:56Z,-17.979637,25.895642,706,0.4815234,0,0,No Data,No Data
1178690520,2007-05-09T06:02:00Z,-17.979642,25.895797,706,0.4980397,0,0,No Data,No Data
1178690528,2007-05-09T06:02:08Z,-17.979653,25.896146,706,0.5350376,0,0,No Data,No Data
1178690532,2007-05-09T06:02:12Z,-17.979677,25.896297,706,0.551282,0,0,No Data,No Data
1178690537,2007-05-09T06:02:17Z,-17.979754,25.896449,706,0.5696121,0,0,No Data,No Data
1178690542,2007-05-09T06:02:22Z,-17.979957,25.896518,706,0.5934301,0,0,No Data,No Data
1178690548,2007-05-09T06:02:28Z,-17.980168,25.896584,706,0.6179795,0,0,No Data,No Data
1178690555,2007-05-09T06:02:35Z,-17.980362,25.89673,706,0.6446329,0,0,No Data,No Data
1178690559,2007-05-09T06:02:39Z,-17.980523,25.896799,731,0.664082,0,0,No Data,No Data
1178690562,2007-05-09T06:02:42Z,-17.980611,25.89687,731,0.6764776,0,0,No Data,No Data
1178690565,2007-05-09T06:02:45Z,-17.980703,25.896939,731,0.6891752,0,0,No Data,No Data
1178690573,2007-05-09T06:02:53Z,-17.980971,25.897072,731,0.7222086,0,0,No Data,No Data
1178690577,2007-05-09T06:02:57Z,-17.981072,25.897184,721,0.7386418,0,0,No Data,No Data
1178690585,2007-05-09T06:03:05Z,-17.981251,25.897407,727,0.7696466,0,0,No Data,No Data
1178690589,2007-05-09T06:03:09Z,-17.981356,25.897557,727,0.7893935,0,0,No Data,No Data
1178690594,2007-05-09T06:03:14Z,-17.981444,25.897701,727,0.8076057,0,0,No Data,No Data
1178690599,2007-05-09T06:03:19Z,-17.981572,25.897842,727,0.828314,0,0,No Data,No Data
1178690601,2007-05-09T06:03:21Z,-17.981605,25.897918,727,0.8371878,0,0,No Data,No Data
1178690607,2007-05-09T06:03:27Z,-17.981704,25.898144,714,0.8635973,0,0,No Data,No Data
1178690613,2007-05-09T06:03:33Z,-17.981776,25.898368,714,0.8887551,0,0,No Data,No Data
1178690617,2007-05-09T06:03:37Z,-17.981804,25.898522,714,0.9054041,0,0,No Data,No Data
1178690620,2007-05-09T06:03:40Z,-17.981833,25.898637,714,0.9180493,0,0,No Data,No Data
1178690625,2007-05-09T06:03:45Z,-17.981859,25.898829,714,0.9386609,0,0,No Data,No Data
1178690631,2007-05-09T06:03:51Z,-17.981977,25.89901,706,0.9619253,0,0,No Data,No Data
1178690635,2007-05-09T06:03:55Z,-17.982058,25.899154,717,0.9796796,0,0,No Data,No Data
1178690638,2007-05-09T06:03:58Z,-17.982098,25.899264,717,0.9921836,0,0,No Data,No Data
1178690642,2007-05-09T06:04:02Z,-17.982171,25.899411,717,1.009797,0,0,No Data,No Data
1178690646,2007-05-09T06:04:06Z,-17.982199,25.899564,717,1.02637,0,0,No Data,No Data
1178690651,2007-05-09T06:04:11Z,-17.982319,25.899704,704,1.046344,0,0,No Data,No Data
1178690656,2007-05-09T06:04:16Z,-17.982393,25.899887,704,1.067499,0,0,No Data,No Data
