UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1178690400,2007-05-09T06:00:00Z,-17.912970,26.144541,725,0,0,0,No Data,No Data
1178690413,2007-05-09T06:00:13Z,-17.913439,26.144501,725,0.0524835,0,0,No Data,No Data
1178690428,2007-05-09T06:00:28Z,-17.914019,26.144412,741,0.1178197,0,0,No Data,No Data
1178690436,2007-05-09T06:00:36Z,-17.914302,26.144382,741,0.1495812,0,0,No Data,No Data
1178690453,2007-05-09T06:00:53Z,-17.914929,26.144587,712,0.2228102,0,0,No Data,No Data
1178690465,2007-05-09T06:01:05Z,-17.915371,26.144614,712,0.2721132,0,0,No Data,No Data
1178690479,2007-05-09T06:01:19Z,-17.915900,26.144648,723,0.3311765,0,0,No Data,No Data
1178690487,2007-05-09T06:01:27Z,-17.916160,26.144776,723,0.3632289,0,0,No Data,No Data
1178690497,2007-05-09T06:01:37Z,-17.916501,26.144934,656,0.4047376,0,0,No Data,No Data
1178690513,2007-05-09T06:01:53Z,-17.917095,26.145051,592,0.4720707,0,0,No Data,No Data
1178690528,2007-05-09T06:02:08Z,-17.917626,26.145094,592,0.5313901,0,0,No Data,No Data
1178690543,2007-05-09T06:02:23Z,-17.918171,26.145289,581,0.5956067,0,0,No Data,No Data
1178690548,2007-05-09T06:02:28Z,-17.918352,26.145292,581,0.6158559,0,0,No Data,No Data
1178690569,2007-05-09T06:02:49Z,-17.919128,26.145129,620,0.7040147,0,0,No Data,No Data
1178690582,2007-05-09T06:03:02Z,-17.919630,26.145154,679,0.7599951,0,0,No Data,No Data
1178690598,2007-05-09T06:03:18Z,-17.920223,26.145159,679,0.8260744,0,0,No Data,No Data
1178690614,2007-05-09T06:03:34Z,-17.920794,26.145136,702,0.8897483,0,0,No Data,No Data
1178690628,2007-05-09T06:03:48Z,-17.921317,26.145198,659,0.9483952,0,0,No Data,No Data
1178690642,2007-05-09T06:04:02Z,-17.921842,26.145257,659,1.007234,0,0,No Data,No Data
1178690656,2007-05-09T06:04:16Z,-17.922366,26.145423,611,1.068264,0,0,No Data,No Data
1178690664,2007-05-09T06:04:24Z,-17.922636,26.145525,602,1.100226,0,0,No Data,No Data
1178690676,2007-05-09T06:04:36Z,-17.923093,26.145495,623,1.151204,0,0,No Data,No Data
1178690691,2007-05-09T06:04:51Z,-17.923646,26.145428,601,1.213237,0,0,No Data,No Data
