UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1178690400,2007-05-09T06:00:00Z,-17.981730,25.898171,714,0,0,0,No Data,No Data
1178690458,2007-05-09T06:00:58Z,-17.980328,25.896444,706,0.2403974,0,0,No Data,No Data
1178690504,2007-05-09T06:01:44Z,-17.979923,25.894672,708,0.4333523,0,0,No Data,No Data
1178690563,2007-05-09T06:02:43Z,-17.979917,25.892343,714,0.679914,0,0,No Data,No Data
1178690789,2007-05-09T06:06:29Z,-17.980904,25.883515,711,1.621074,0,0,No Data,No Data
1178690813,2007-05-09T06:06:53Z,-17.980607,25.882628,717,1.720545,0,0,No Data,No Data
1178690817,2007-05-09T06:06:57Z,-17.980493,25.882538,717,1.736354,0,0,No Data,No Data
1178690821,2007-05-09T06:07:01Z,-17.980363,25.882436,715,1.754321,0,0,No Data,No Data
1178690825,2007-05-09T06:07:05Z,-17.980231,25.882446,715,1.769058,0,0,No Data,No Data
1178690828,2007-05-09T06:07:08Z,-17.980098,25.882457,715,1.783887,0,0,No Data,No Data
1178690831,2007-05-09T06:07:11Z,-17.979991,25.882493,715,1.796372,0,0,No Data,No Data
1178690833,2007-05-09T06:07:13Z,-17.979937,25.882553,715,1.805126,0,0,No Data,No Data
1178690837,2007-05-09T06:07:17Z,-17.979829,25.882617,715,1.818929,0,0,No Data,No Data
1178690840,2007-05-09T06:07:20Z,-17.979694,25.882683,715,1.835416,0,0,No Data,No Data
1178690843,2007-05-09T06:07:23Z,-17.979587,25.882718,715,1.847861,0,0,No Data,No Data
1178690846,2007-05-09T06:07:26Z,-17.979507,25.882724,714,1.856772,0,0,No Data,No Data
1178690850,2007-05-09T06:07:30Z,-17.979344,25.882738,714,1.874962,0,0,No Data,No Data
1178690853,2007-05-09T06:07:33Z,-17.979235,25.882747,714,1.887127,0,0,No Data,No Data
1178690858,2007-05-09T06:07:38Z,-17.979043,25.882763,714,1.908519,0,0,No Data,No Data
1178690861,2007-05-09T06:07:41Z,-17.978933,25.882772,714,1.920742,0,0,No Data,No Data
1178690864,2007-05-09T06:07:44Z,-17.978823,25.882782,714,1.932989,0,0,No Data,No Data
1178690868,2007-05-09T06:07:48Z,-17.978684,25.882710,712,1.950153,0,0,No Data,No Data
1178690871,2007-05-09T06:07:51Z,-17.978600,25.882606,712,1.964513,0,0,No Data,No Data
1178690875,2007-05-09T06:07:55Z,-17.978544,25.882472,712,1.980001,0,0,No Data,No Data
1178690878,2007-05-09T06:07:58Z,-17.978521,25.882357,712,1.992352,0,0,No Data,No Data
1178690881,2007-05-09T06:08:01Z,-17.978466,25.882250,712,2.005211,0,0,No Data,No Data
1178690884,2007-05-09T06:08:04Z,-17.978439,25.882139,717,2.017272,0,0,No Data,No Data
1178690889,2007-05-09T06:08:09Z,-17.978391,25.881969,717,2.035976,0,0,No Data,No Data
1178690892,2007-05-09T06:08:12Z,-17.978368,25.881856,717,2.048195,0,0,No Data,No Data
1178690894,2007-05-09T06:08:14Z,-17.978342,25.881744,717,2.060325,0,0,No Data,No Data
1178690898,2007-05-09T06:08:18Z,-17.978290,25.881605,717,2.076036,0,0,No Data,No Data
1178690903,2007-05-09T06:08:23Z,-17.978239,25.881438,717,2.094549,0,0,No Data,No Data
1178690906,2007-05-09T06:08:26Z,-17.978240,25.881325,719,2.106475,0,0,No Data,No Data
1178690909,2007-05-09T06:08:29Z,-17.978186,25.881215,719,2.119452,0,0,No Data,No Data
1178690912,2007-05-09T06:08:32Z,-17.978157,25.881078,719,2.134245,0,0,No Data,No Data
1178690915,2007-05-09T06:08:35Z,-17.978102,25.880997,719,2.144714,0,0,No Data,No Data
1178690919,2007-05-09T06:08:39Z,-17.978047,25.880860,719,2.16043,0,0,No Data,No Data
1178690921,2007-05-09T06:08:41Z,-17.977992,25.880778,719,2.170973,0,0,No Data,No Data
1178690925,2007-05-09T06:08:45Z,-17.977907,25.880643,719,2.188031,0,0,No Data,No Data
1178690928,2007-05-09T06:08:48Z,-17.977851,25.880534,726,2.201102,0,0,No Data,No Data
1178690932,2007-05-09T06:08:52Z,-17.977822,25.880395,726,2.216099,0,0,No Data,No Data
1178690935,2007-05-09T06:08:55Z,-17.977794,25.880284,726,2.228181,0,0,No Data,No Data
1178690938,2007-05-09T06:08:58Z,-17.977793,25.880144,726,2.242975,0,0,No Data,No Data
1178690942,2007-05-09T06:09:02Z,-17.977821,25.880002,726,2.258283,0,0,No Data,No Data
1178690946,2007-05-09T06:09:06Z,-17.977820,25.879862,726,2.27309,0,0,No Data,No Data
1178690949,2007-05-09T06:09:09Z,-17.977848,25.879748,726,2.285518,0,0,No Data,No Data
