UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1178690400,2007-05-09T06:00:00Z,-17.986708,25.895274,906,0,0,0,No Data,No Data
1178690413,2007-05-09T06:00:13Z,-17.986380,25.895669,907,0.0554693,0,0,No Data,No Data
1178690425,2007-05-09T06:00:25Z,-17.986137,25.896055,904,0.1045222,0,0,No Data,No Data
1178690434,2007-05-09T06:00:34Z,-17.985972,25.896362,905,0.1419157,0,0,No Data,No Data
1178690444,2007-05-09T06:00:44Z,-17.985727,25.896679,905,0.1851655,0,0,No Data,No Data
1178690455,2007-05-09T06:00:55Z,-17.985562,25.897060,905,0.2294943,0,0,No Data,No Data
1178690464,2007-05-09T06:01:04Z,-17.985384,25.897374,899,0.2681994,0,0,No Data,No Data
1178690474,2007-05-09T06:01:14Z,-17.985205,25.897689,899,0.3070472,0,0,No Data,No Data
1178690483,2007-05-09T06:01:23Z,-17.985026,25.898005,891,0.3459919,0,0,No Data,No Data
1178690494,2007-05-09T06:01:34Z,-17.984826,25.898402,891,0.3936283,0,0,No Data,No Data
1178690505,2007-05-09T06:01:45Z,-17.984577,25.898746,891,0.4393711,0,0,No Data,No Data
1178690516,2007-05-09T06:01:56Z,-17.984379,25.899092,850,0.4821958,0,0,No Data,No Data
1178690532,2007-05-09T06:02:12Z,-17.983936,25.899512,850,0.5486405,0,0,No Data,No Data
1178690551,2007-05-09T06:02:31Z,-17.983426,25.900036,750,0.6279709,0,0,No Data,No Data
1178690569,2007-05-09T06:02:49Z,-17.982953,25.900530,717,0.702208,0,0,No Data,No Data
1178690580,2007-05-09T06:03:00Z,-17.982693,25.900890,702,0.750065,0,0,No Data,No Data
1178690586,2007-05-09T06:03:06Z,-17.982520,25.901065,702,0.7767813,0,0,No Data,No Data
1178690594,2007-05-09T06:03:14Z,-17.982484,25.901360,720,0.8083651,0,0,No Data,No Data
1178690606,2007-05-09T06:03:26Z,-17.982303,25.901797,720,0.8588444,0,0,No Data,No Data
1178690614,2007-05-09T06:03:34Z,-17.982188,25.902077,720,0.8911625,0,0,No Data,No Data
1178690622,2007-05-09T06:03:42Z,-17.982051,25.902366,731,0.9253347,0,0,No Data,No Data
1178690629,2007-05-09T06:03:49Z,-17.981915,25.902578,842,0.9524426,0,0,No Data,No Data
1178690638,2007-05-09T06:03:58Z,-17.981710,25.902871,842,0.9909761,0,0,No Data,No Data
1178690644,2007-05-09T06:04:04Z,-17.981544,25.903022,850,1.015391,0,0,No Data,No Data
1178690653,2007-05-09T06:04:13Z,-17.981251,25.903253,850,1.056212,0,0,No Data,No Data
1178690662,2007-05-09T06:04:22Z,-17.980965,25.903431,890,1.093174,0,0,No Data,No Data
